lon,lat,voterType,COLOR,id
-89.8208604969,43.7291748391,REP,#ca0020,4022
-89.8208564451,43.9604130707,NOVOTE,#9999999,1433
-89.8208553333,43.9664156893,NOVOTE,#9999999,1275
-89.8208476726,43.9605242977,NOVOTE,#9999999,1437
-89.8208412933,43.9157183992,DEM,#0571b0,2029
-89.8208321817,43.9584729878,NOVOTE,#9999999,167
-89.820821469,43.9737043711,NOVOTE,#9999999,6042
-89.8208005724,43.9591222977,NOVOTE,#9999999,177
-89.8207995284,43.9585842031,REP,#ca0020,162
-89.8207687854,43.9633176475,DEM,#0571b0,1389
-89.8207559479,43.9612837823,REP,#ca0020,1430
-89.8207534037,43.7162016243,REP,#ca0020,4160
-89.8207406139,44.1001132898,DEM,#0571b0,2994
-89.8207217486,43.9664042314,NOVOTE,#9999999,1271
-89.8207165471,43.9575575916,NOVOTE,#9999999,243
-89.8207074646,43.9579522056,DEM,#0571b0,157
-89.8207025664,43.9695466597,DEM,#0571b0,6010
-89.8206920268,44.1896060653,NOVOTE,#9999999,13742
-89.8206777352,43.972243608,DEM,#0571b0,6116
-89.8206749606,44.1223966229,NOVOTE,#9999999,2658
-89.8206584773,43.9604974577,REP,#ca0020,1431
-89.8206514459,43.9600075369,NOVOTE,#9999999,1440
-89.8206432051,43.7534932691,NOVOTE,#9999999,16233
-89.8206242327,43.9562596056,NOVOTE,#9999999,244
-89.8206023143,44.1907849894,REP,#ca0020,13735
-89.8205923833,43.9875040133,NOVOTE,#9999999,11369
-89.8205901021,43.9606071975,DEM,#0571b0,1424
-89.8205841703,43.9586942531,DEM,#0571b0,160
-89.8205834892,43.9560514784,DEM,#0571b0,231
-89.8205815722,43.960411148,DEM,#0571b0,1427
-89.8205804071,43.9612463979,DEM,#0571b0,1426
-89.8205727617,43.9610665343,NOVOTE,#9999999,1436
-89.8205703292,44.1077578338,NOVOTE,#9999999,3003
-89.8205701298,43.9730456511,NOVOTE,#9999999,6124
-89.8205498292,44.0542816013,DEM,#0571b0,11032
-89.8205405565,43.9609350042,DEM,#0571b0,1423
-89.8205392648,44.0121314488,NOVOTE,#9999999,10859
-89.820531273,43.9703566703,NOVOTE,#9999999,6306
-89.8205300624,43.9726101324,NOVOTE,#9999999,6121
-89.8205169845,43.9632963976,DEM,#0571b0,1388
-89.8205050431,43.9621711252,REP,#ca0020,1418
-89.820501744,43.738946384,NOVOTE,#9999999,16240
-89.8204948309,44.1911646654,REP,#ca0020,13767
-89.8204945616,43.9560198158,NOVOTE,#9999999,248
-89.8204837308,43.9578403231,DEM,#0571b0,152
-89.8204797569,43.973872097,DEM,#0571b0,6044
-89.8204772097,43.957839545,NOVOTE,#9999999,175
-89.8204747662,43.9577098789,REP,#ca0020,236
-89.8204702985,44.1952601113,DEM,#0571b0,13610
-89.8204698544,43.9577956827,NOVOTE,#9999999,174
